SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
45;"05.20.00";2;Indvinding af brunkul;Branchen omfatter indvinding af fast mineralsk brændstof som brunkul, herunder også vask, tørring, pulverisering mv. af brunkul med henblik på kvalitetsforbedring, opbevaring eller transport.;"- Indvinding af brunkul: brydning under eller over jorden, herunder brydning ved likvifaktionsmetoder
- Vask, tørring, pulverisering, komprimering mv. af brunkul med henblik på kvalitetsforbedring, transport eller opbevaring";;"- Indvinding af stenkul, jf.<ref>05.10.00</ref>
- Indvinding af tørv, jf.<ref>08.92.00</ref>
- Serviceydelser i forbindelse med indvinding af brunkul, jf.<ref>09.90.00</ref>
- Prøveboring til kulminer, jf.<ref>09.90.00</ref>
- Fremstilling af brunkulsbriketter, jf.<ref>19.20.00</ref>
- Arbejde til udvikling eller klargøring af kulminer, jf.<ref>43.12.00</ref>";;
46;"06.10.00";2;Indvinding af råolie;Branchen omfatter indvinding af råolie, processerne ved indvinding af råolie samt produktion af råolie fra bituminøst skifer og sand samt indvinding af bituminøst eller olieholdigt skifer og tjæresand.;- Indvinding af råolie;"- Indvinding af bituminøst eller olieholdigt skifer og tjæresand
- Produktion af råolie fra bituminøst skifer og sand
- Processer til indvinding af råolie: dekantering, afsaltning, tørring, stabilisering mv.";"- Serviceydelser i forbindelse med olie- og naturgasindvinding, jf.<ref>09.10.00</ref>
- Olie- og gasefterforskning, jf.<ref>09.10.00</ref>
- Fremstilling af raffinerede råolieprodukter, jf.<ref>19.20.00</ref>
- Genvinding af flydende oliegasser ved raffinering af olien, jf.<ref>19.20.00</ref>
- Drift af rørledninger, jf.<ref>49.50.00</ref>";;
47;"06.20.00";2;Indvinding af naturgas;Branchen omfatter indvinding af naturgas og kondensater, af flydende kulbrinter og metan, ethan, butan eller propan samt også bortledning og separering af flydende kulbrintefraktioner og afsvovling af gas. Det er med andre ord operatørers arbejde ved indvindingsfelterne.;"- Indvinding af naturgas
- Fremstilling af rå luftformige kulbrinter (naturgas)
- Indvinding af kondensater
- Indvinding af metan, ethan, butan eller propan
- Bortledning og separering af flydende kulbrintefraktioner
- Afsvovling af gas";- Indvinding af flydende kulbrinter ved likvifaktion eller pyrolyse;"- Serviceydelser i forbindelse med olie- og naturgasindvinding, jf.<ref>09.10.00</ref>
- Olie- og gasefterforskning, jf.<ref>09.10.00</ref>
- Genvinding af flydende oliegasser ved raffinering af olien, jf.<ref>19.20.00</ref>
- Fremstilling af industrigasser, jf.<ref>20.11.00</ref>
- Drift af rørledninger, jf.<ref>49.50.00</ref>";;
48;"07.10.00";2;Brydning af jernmalm;Branchen omfatter brydning af alle malme, som hovedsagelig indvindes til brug af jernindholdet Branchen omfatter også oparbejdning og agglomerering af jernmalm samt ristning af pyrit og pyrrhotit Brydning og forarbejdning af pyrit og pyrrhotit henvises til 08.91.00;"- Brydning af malme, som hovedsagelig udnyttes på grund af jernindholdet
- Oparbejdning og agglomerering af jernmalm";;- Brydning og forarbejdning af pyrit og pyrrhotit (bortset fra ristning), jf.<ref>08.91.00</ref>;;
49;"07.21.00";2;Brydning af uran- og thoriummalme;Branchen omfatter brydning af malme, som hovedsagelig indvindes til brug for indholdet af uran og thorium: begblende mv. Branchen omfatter også koncentrering af disse malme samt fremstilling af yellow cake. Berigelse af uran og thoriummalme henvises til 20.13.00 og raffinering af uran henvises til 24.46.00;"- Brydning af malme, som hovedsagelig udnyttes på grund af indholdet af uran og thorium: begblende mv.
- Koncentrering af disse malme
- Fremstilling af yellow cake";;"- Berigelse af uran- og thoriummalme, jf.<ref>20.13.00</ref>
- Fremstilling af metallisk uran af begblende eller andre malme, jf.<ref>24.46.00</ref>
- Smeltning og raffinering af uran, jf.<ref>24.46.00</ref>";;
50;"07.29.00";2;Brydning af andre ikke-jernholdige metalmalme;Branchen omfatter brydning af andre ikke-jernholdige malme, som hovedsagelig indvindes til brug for indholdet af ikke-jernholdige metaller, som fx aluminium (bauxit), kobber, bly, zink, tin, mangan, krom, nikkel, kobolt, molybdæn, tantal, vanadium mv og også ædelmetallerne guld, sølv og platin. Fremstilling af aluminiumoxid henvises til 24.42.00 og fremstilling af kobber- og nikkelmatte henvises til hhv. 24.44.00 og 24.45.00;"Brydning og forarbejdning af malme, som hovedsagelig udnyttes på grund af indholdet af ikke-jernholdigt metal:
- Aluminium (bauxit), kobber, bly, zink, tin, mangan, krom, nikkel, kobolt, molybdæn, tantal, vanadium mv.
- Ædelmetaller: guld, sølv, platin";;"- Brydning og forarbejdning af uran- og thoriummalme, jf.<ref>07.21.00</ref>
- Fremstilling af aluminiumoxid, jf.<ref>24.42.00</ref>
- Fremstilling af kobber- eller nikkelmatte, jf.<ref>24.44.00</ref>,<ref>24.45.00</ref>";;
51;"08.11.00";2;Brydning af pynte- og bygningssten, kalksten, gips, kridt og skifer;Branchen omfatter brydning, hugning knusning og grov tildannelse af monument- og byggesten (granit, sandsten, marmor), kalksten, gips, anhydrit, kridt og ukalcineret dolomit. Branchen omfatter også alt stenfiskeri. Branchen omfatter endvidere opgravning og knusning mv af aflejrede materialer af ikke-mineralske sten, sand og ler. Udskæring, tilhugning og færdigbearbejdning af sten uden for stenbrud henvises til 23.70.00. Fremstilling af brændt dolomit henvises til 23.52.00;"- Brydning, grov tildannelse og tilsavning af monument- og byggesten, fx marmor, granit, sandsten mv.
- Hugning og knusning af pynte- og byggesten
- Brydning, knusning og hugning af kalksten
- Indvinding af gips og anhydrit
- Indvinding af kridt og ukalcineret dolomit
- Stenfiskeri, opsamling på åbent vand af sten fra havbunden";;"- Indvinding af mineraler til fremstilling af kemiske produkter og gødningsstoffer, jf.<ref>08.91.00</ref>
- Fremstilling af brændt dolomit, jf.<ref>23.52.00</ref>
- Udskæring, tilhugning og færdigforarbejdning af sten uden for stenbrud, jf.<ref>23.70.00</ref>";;
52;"08.12.00";2;"Grus- og sandgravning; indvinding af ler og kaolin";Branchen omfatter ikke blot indvinding fra miner og stenbrud men også opgravning af grus og sand samt indvinding af ler og kaotin. Branchen omfatter indvinding, brydning og knusning af sand samt opmudring af industrisand, byggesand og grus og indvinding af ler, ildfast ler og kaotin. Indvinding af butiminøst sand henvises til 06.10.00;"- Indvinding og opmudring af industrisand, byggesand og grus
- Brydning og knusning af sand
- Indvinding af sand
- Indvinding af ler, ildfast ler og kaolin";;- Indvinding af bituminøst sand, jf.<ref>06.10.00</ref>;;
53;"08.91.00";2;Indvinding af mineraler til fremstilling af kemiske produkter og gødningsstoffer;Branchen omfatter indvinding af naturlige fosfater og kaliumsalte og frit svovl samt naturligt bariumsulfat og karbonater heraf samt naturlige magnesiumsulfater, jordpigmenter, flusspat og andre mineraler, som hovedsaglig udnyttes som kilde til kemiske stoffer. Branchen omfatter også brydning og forarbejdning af pyrit og pyrrhotit, bortset fra ristning samt indvinding af guano.;"- Indvinding af naturlige fosfater og naturlige kaliumsalte
- Indvinding af frit svovl
- Brydning og forarbejdning af pyrit og pyrrhotit, bortset fra ristning
- Indvinding af naturligt bariumsulfat og karbonat (baryt og witherit), naturligt borat, naturlige magnesiumsulfater (kiserit)
- Indvinding af jordpigmenter, flusspat og andre mineraler, som hovedsagelig udnyttes som kilde til kemiske stoffer";- Indvinding af guano;"- Saltindvinding, jf.<ref>08.93.00</ref>
- Brænding af svovlkis, jf.<ref>20.13.00</ref>
- Fremstilling af syntetiske gødningsstoffer og kvælstofsammensætninger, jf.<ref>20.15.00</ref>";;
54;"08.92.00";2;Indvinding og agglomerering af tørv;Branchen omfatter indvinding, agglomerering af tørv samt den forarbejdning, der skal forbedre kvaliteten, lette transporten eller lagringen af tørv. Fremstilling af tørveprodukter eller tørvebriketter henvises til hhv. 23.99.90 og 19.20.00. Fremstilling af havemuldblandinger, hvor tørv indgår, henvises til 20.15.00. Serviceydelser i forbindelse med indvinding af tørv henvises til 09.90.00;"- Indvinding af tørv
- Agglomerering af tørv
- Forarbejdning af tørv for at forbedre kvaliteten, lette transporten eller lagringen";;"- Serviceydelser i forbindelse med indvinding af tørv, jf.<ref>09.90.00</ref>
- Fremstilling af havemuldblandinger af naturlig jord, sand, ler, gødningsmineraler mv., jf.<ref>20.15.00</ref>
- Fremstilling af tørveprodukter, jf.<ref>23.99.90</ref>
- Fremstilling af tørvebriketter, jf.<ref>19.20.00</ref>";;
55;"08.93.00";2;Saltindvinding;Branchen omfatter indvinding af salt fra undergrunden, ved opløsning og pumpning eller ved inddampning af havvand eller anden form for saltvand. Branchen omfatter også knusning, rensning og raffinering af salt udført af producenten. Fremstilling af bordsalt fx jodberiget salt henvises til 10.84.00 og drikkevandsfremstilling ved inddampning af saltvand henvises til 36.00.00;"- Indvinding af salt fra undergrunden, herunder også ved opløsning og pumpning
- Saltfremstilling ved inddampning af havvand eller anden form for saltvand
- Knusning, rensning og raffinering af salt udført af producenten";;"- Fremstilling af bordsalt, fx jodberiget salt, jf.<ref>10.84.00</ref>
- Drikkevandsfremstilling ved inddampning af saltvand, jf.<ref>36.00.00</ref>";;
56;"08.99.00";2;Anden råstofindvinding i.a.n.;Branchen omfatter indvinding og brydning af andre råstoffer, som ikke er nævnt andetsteds fx slibematerialer, asbest, fossilt kiselmel, naturligt grafit, steatit (talkum) feltspat, halvædelsten, kvarts, glimmer mv samt naturligt asfalt og bitumen.;"Indvinding og brydning af forskellige mineraler og materialer:
- Slibematerialer, asbest, fossilt kiselmel, naturlig grafit, steatit (talkum), feldspat mv.
- Halvædelsten, kvarts, glimmer mv.
- Naturlig asfalt og bitumen";;;;
57;"09.10.00";2;Serviceydelser i forbindelse med indvinding af råolie og naturgas;Branchen omfatter serviceydelser (på honorar- eller kontraktbasis), som fx montering, reparation eller demontering af boretårne, prøveboringer eller brandslukning i forbindelse med olie- eller gasindvinding. Virksomheder, der beskæftiger sig med fx geologiske undersøgelser, henvises til 71.12.40;"Serviceydelser i forbindelse med olie- og gasindvinding på honorar- eller kontraktbasis:
- Serviceydelser i forbindelse med efterforskning ved indvinding af råolie eller gas, fx traditionelle efterforskningsmetoder som fx geologiske observationer
- Retningsbestemt boring og genboring, anboring; montering af boretårne på stedet, reparation og demontering heraf, faststøbning af boringsrør i olie- og gasborehuller, pumpning i borehuller, afpropning og lukning af borehuller mv.
- Likvifaktion og genforgasning af naturgas som udføres på boringsstedet med henblik på transport
- Serviceydelser i forbindelse med dræning og pumpning på honorar- eller på kontraktbasis
- Prøveboring i forbindelse med råolie- eller gasindvinding";- Brandslukningsaktiviteter på olie- og gasfelter;"- Serviceydelser, der leveres af operatører af olie- eller gasfelter, jf.<ref>06.10.00</ref>,<ref>06.20.00</ref>
- Reparation af specialiseret mineudstyr, jf.<ref>33.12.00</ref>
- Geofysiske, geologiske og seismografiske undersøgelser, jf.<ref>71.12.40</ref>";;
58;"09.90.00";2;Serviceydelser i forbindelse med anden råstofindvinding;"Branchen omfatter serviceydelser (på honorar- eller kontraktbasis) i forbindelse med råstofindvinding (bortset fra råolie og naturgas). Fx serviceydelser i forbindelse med prøveboringer og traditionel efterforskning, som udtagning af boreprøver og geologiske observationer samt serviceydelser i forbindelse med dræning og pumpning . ";"Serviceydelser på honorar- eller kontraktbasis, som er nødvendige for mineaktiviteterne i hovedgruppe 05, 07 og 08:
- Serviceydelser i forbindelse med efterforskning, fx traditionelle efterforskningsmetoder som udtagning af boreprøver og geologiske observationer
- Serviceydelser i forbindelse med dræning og pumpning på honorar- eller på kontraktbasis
- Prøveboring";;"- Drift af miner og stenbrud på honorar- eller kontraktbasis, jf. hovedgruppe<ref>05</ref>,<ref>07</ref>og<ref>08</ref>
- Reparation af specialiseret mineudstyr, jf.<ref>33.12.00</ref>
- Serviceydelser i forbindelse med geofysiske undersøgelser på honorar- eller kontraktbasis, jf.<ref>71.12.40</ref>";;
59;"10.11.10";2;Forarbejdning af svinekød;Branchen omfatter slagtning af svin samt forarbejdning af svinekød herunder fremstilling af fersk, kølet eller frosset kød i hele kroppe eller udskæring samt udsmeltning af svinefedt og forarbejdning af slagteaffald eller destruktion af svinekød.;"- Drift af svineslagterier, der beskæftiger sig med slagtning samt forarbejdning af svinekød
- Fremstilling af fersk, kølet eller frosset svinekød i hele kroppe
- Fremstilling af fersk, kølet eller frosset svinekød i udskæringer";"- Udsmeltning af svinefedt
- Forarbejdning af slagteaffald fra svin, herunder tarme og fremstilling af benmel
- Destruktion af svinekød";"- Produktion af kød fra andre dyr end svin, jf.<ref>10.11.90</ref>
- Pakning af kød på honorar- eller kontraktbasis, jf.<ref>82.92</ref>";;
60;"10.11.90";2;Forarbejdning af andet kød;Branchen omfatter slagtning af andre dyr end svin og fjerkræ samt forarbejdning af kød herunder fremstilling af fersk, kølet eller frosset kød samt udsmeltning af fedt og forarbejdning af slagteaffald eller destruktion af kød. Også fremstilling af opkradset uld er omfattet.;"- Drift af slagterier, der beskæftiger sig med slagtning samt forarbejdning og pakning af kød: okse, lam, kanin, får, kamel mv.
- Fremstilling af fersk, kølet eller frosset kød i hele kroppe undtagen svinekød
- Fremstilling af fersk, kølet eller frosset kød i udskæringer undtagen svinekød";"- Slagtning og forarbejdning af hvaler på land eller på specialfartøjer
- Fremstilling af huder og skind fra slagterier, herunder skindhandel
- Udsmeltning af spiselige fedtstoffer af animalsk oprindelse undtagen svinefedt
- Forarbejdning af slagteaffald, herunder tarme og fremstilling af benmel
- Destruktion af andet kød
- Fremstilling af opkradset uld";"- Udsmeltning af spiseligt fjerkræfedt, jf.<ref>10.12.00</ref>
- Pakning af kød på honorar- eller kontraktbasis, jf.<ref>82.92.00</ref>";;
61;"10.12.00";2;Forarbejdning og konservering af fjerkrækød;Branchen omfatter slagtning og forarbejdning af fjerkræ samt fremstilling af fersk, kølet eller frosset kød samt udsmeltning af spiseligt fjerkræfedt og fremstilling af fjer og dun.;"- Drift af slagterier, der beskæftiger sig med slagtning samt forarbejdning og pakning af fjerkræ
- Fremstilling af fersk, kølet eller frosset kød i enkeltportioner
- Udsmeltning af spiseligt fjerkræfedt";- Fremstilling af fjer og dun;- Pakning af kød, jf.<ref>82.92.00</ref>;;
62;"10.13.00";2;Produktion af kød- og fjerkrækødprodukter;Branchen omfatter fremstilling af tørret, saltet eller røget kød samt pølser, patéer, postejer, kogt skinke mm.;"Fremstilling af tørret, saltet eller røget kød
Fremstilling af kødprodukter:
- Pølser, salami, blodpølser, kødpølser, cervelatpølser, mortadella, pateer, postejer, kogt skinke";;"- Fremstilling af frosne færdigretter af kød og fjerkræ, jf.<ref>10.85.00</ref>
- Fremstilling af suppe med indhold af kød, jf.<ref>10.89.00</ref>
- Engrossalg af kød, jf.<ref>46.32.00</ref>
- Pakning af kød, jf.<ref>82.92.00</ref>";;
63;"10.20.10";2;Fremstilling af fiskemel;Branchen omfatter fremstilling af fiskemel, som anvendes til konsum eller foder.;- Fremstilling af fiskemel, som anvendes til konsum eller foder;;;;
64;"10.20.20";2;Forarbejdning og konservering af fisk, krebsdyr og bløddyr, undtagen fiskemel;Branchen omfatter forarbejdning og konservering af fisk, krebsdyr og bløddyr, herunder frysning, røgning, saltning, fremstilling af fileter, fars, rogn mm. Branchen omfatter også fremstilling af tang og alger til konsum og af mel, solubler eller opløsninger, ikke til konsum.  Branchen omfatter ikke fremstilling af fiskemel (10.20.10) og fiskesuppe (10.89.00);"- Fiskefarsfabrikker
- Forarbejdning og konservering af fisk, krebsdyr og bløddyr: frysning, tørring, kogning, røgning, saltning, konservering i saltlage, på dåse mv.
- Fremstilling af fiske-, krebsdyr- og bløddyrprodukter: fiskefileter, rogn, kaviar, kaviarerstatninger mv.
- Fremstilling af mel og solubler/opløsninger fra fisk og andre vandlevende dyr, som ikke er egnet til konsum";"- Aktiviteter med fartøjer, der kun anvendes til forarbejdning og konservering af fisk
- Forarbejdning af tang og alger";"- Fremstilling af fiskemel, jf.<ref>10.20.10</ref>
- Forarbejdning af fisk på fartøjer, der anvendes til fiskeri, jf.<ref>03.11.00</ref>
- Forarbejdning af hvaler på land eller på specialfartøjer, jf.<ref>10.11.90</ref>
- Fremstilling af olie og fedtstoffer fra havorganismer, jf.<ref>10.41.00</ref>
- Fremstilling af frosne færdigretter af fisk, jf.<ref>10.85.00</ref>
- Fremstilling af fiskesuppe, jf.<ref>10.89.00</ref>";;
65;"10.31.00";2;Forarbejdning og konservering af kartofler;Branchen omfatter forarbejdning og konservering af kartofler. Fx kartoffelskrællerier, fremstilling af forkogte frosne kartofler, franske kartofler, kartoffelsnacks, kartoffelmos i pulverform og kartoffelmel. Fremstilling af kartoffelstivelse henvises til 10.62.00;"Forarbejdning og konservering af kartofler:
- Fremstilling af forkogte frosne kartofler
- Fremstilling af kartoffelmos i pulverform
- Fremstilling af kartoffelsnacks
- Fremstilling af franske kartofler
- Fremstilling af kartoffelmel";- Kartoffelskrællerier;- Fremstilling af kartoffelstivelse, jf.<ref>10.62.00</ref>;;
66;"10.32.00";2;Fremstilling af frugt- og grøntsagssaft;Branchen omfatter fremstilling af frugtsaft, grøntsagtssaft og juice, samt koncentrater fra friske frugter og grøntsager. Fremstilling af kunstige koncentrater henvises til 10.89.00;;- Fremstilling af koncentrater fra friske frugter og grøntsager;;;
